palavra correta;palavra digitada;px;p1;p2;p3;p4;p1_lx;p1_l1;p1_l2;p1_l3;p1_l4
chautauqua;Chattakqua;3;1;8;165;26205;manhattan;chautauqua;chatta;chatta;chatta
chautauqua;Chatuaca;17;20;567;1656;26147;khachaturian;cutcha;achates;chat;chat
chautauqua;Chatwakwa;26098;153;2134;1347;26142;kamchatka;awatch;kwacha;chat;chat
chautauqua;Chauetouequa;1;1;4;1;93;chautauqua;chautauqua;haqueton;chautauqua;chaud
chautauqua;Chautakye;26109;1219;1;1;1;autarchy;thackeray;chautauqua;chautauqua;chautauqua
chautauqua;Chautaqua;1;1;1;1;1;chautauqua;chautauqua;chautauqua;chautauqua;chautauqua
chautauqua;Chautauchua;1;1;1;1;1;chautauqua;chautauqua;chautauqua;chautauqua;chautauqua
chautauqua;Chautiqua;1;3;1;1;9;chautauqua;aquatic;chautauqua;chautauqua;boutique
chautauqua;Chautogqwa;26106;76;35;20;18;autograph;acquight;tautog;tautog;tautog
chautauqua;Chautqua;1;1;1;1;1;chautauqua;chautauqua;chautauqua;chautauqua;chautauqua
chautauqua;Chawtakque;26111;105;3;1707;26105;bequeath;buckwheat;chaw;chaw;chaw
chautauqua;Chawtawque;26103;55;3;1668;26105;bequeath;chateau;chaw;chaw;chaw
chautauqua;Cheautauqua;1;1;1;1;1;chautauqua;chautauqua;chautauqua;chautauqua;chautauqua
chautauqua;Chetdacowa;26242;17014;29148;28882;26194;dacoitage;accoasted;cachet;cowal;cowal
chautauqua;Chetoquoi;26149;13438;2995;28888;26217;quoiters;coquito;quoi;iroquois;iroquois
chautauqua;Chicahwa;26138;9796;24181;31155;26322;chicanas;chicha;chica;chica;chica
chautauqua;Chictocua;26308;10608;4055;29740;26265;pictographic;acoluthic;histochemic;chic;chic
chautauqua;Chicugta;26273;6212;2371;28582;26201;autarchic;clauchting;wichita;chic;colchicum
chautauqua;Chistupa;26376;17919;34290;33040;26599;putschist;chupatis;stupa;stupa;stupa
chautauqua;Chitacque;26332;1970;534;30307;26211;hacqueton;acquite;hitachi;hitachi;chita
chautauqua;Chitalka;26164;9439;3936;30353;26419;talkathon;calathi;chital;chital;chital
chautauqua;Chitalkwa;26127;10585;4209;30385;26417;whitaker;calathi;chital;chital;chital
chautauqua;Chitaqua;93;43;20;2136;26157;aquarist;aquatic;chita;chita;chita
chautauqua;Chitauqua;1;3;1;3;2;chautauqua;aquatic;chautauqua;chita;chita
chautauqua;Chitoqua;26176;735;212;1930;26154;toquilla;acquight;chiton;chiton;chiton
chautauqua;Chittiqua;26165;1091;538;2652;26338;antiquate;acquitting;chitties;chitties;chitties
chautauqua;Chochatta;26161;5722;539;2622;26304;chattanooga;toccata;chatta;chatta;chatta
chautauqua;Chottago;26160;24473;2723;28685;26227;cottaged;chattanooga;chota;chott;chott
chautauqua;Chouativa;26229;2068;5674;36054;26979;activation;vacuation;ativan;ativan;ativan
chautauqua;Chuatackqua;22;1;59;2285;26172;hackmatack;chautauqua;quack;quat;hackmatack
chautauqua;Chuatuaque;26122;1;269;28250;26156;quechuan;chautauqua;quechua;quechua;braque
chautauqua;Chuatuaton;26229;360;4472;30140;26265;actuator;tacahout;infatuation;actuator;actuator
chautauqua;Chutaciqwa;20;97;156;912;26145;autacoid;autarchic;chut;chut;chut
chautauqua;Chutouko;26098;1528;2182;26999;26120;bouzouki;bucktooth;chukor;shutout;shutout
chautauqua;Cuhtawa;26186;175;10219;26261;26104;tawa;awatch;cutaway;tawa;tawa
chautauqua;Quatauqua;1;1;1;1;1;chautauqua;chautauqua;chautauqua;chautauqua;chautauqua
chautauqua;Schtaka;26249;3967;880;26990;26120;taka;hatracks;taka;taka;taka
chautauqua;Shatacua;26145;48;301;28103;26172;caratacus;acanthas;cushat;shat;caratacus
chautauqua;Shatakiwa;26113;7006;3043;27873;26147;thataway;kahawai;shakta;latakia;latakia
chautauqua;Shataqua;15;13;18;1672;26131;aquanaut;squamata;aquatinta;aqua;aqua
chautauqua;Shautalkwa;26109;1160;38;5;3;autarkical;talukas;outtalk;walkway;walkway
chautauqua;Shawtachwa;26111;550;391;28090;26284;hatchway;hatchways;kwacha;shaw;shaw
chautauqua;Shawtapwa;26096;3400;1630;27235;26147;wappenshaw;parathas;wappenshaw;shaw;shaw
chautauqua;Shawtowa;26109;21147;16256;27206;26173;stowaway;stowaway;shaw;shaw;shaw
chautauqua;Shitaka;26316;26510;19633;29049;26152;taka;kitharas;shiitake;shit;whitaker
chautauqua;Showtalkaw;26107;40597;23813;28187;26225;talkathon;walkathons;talkathon;talkable;talkable
chautauqua;Showtalkwa;26108;40597;24070;28204;26223;walkways;walkathons;shopwalker;walkway;walkway
chautauqua;Showtucwa;26095;10163;45768;26799;26165;tuckahoe;outwash;show;show;show
chautauqua;catauqua;1;1;1;1;1;chautauqua;chautauqua;chautauqua;chautauqua;chautauqua
chautauqua;chacactur;172;936;4129;2644;26278;arracacha;autarchic;arracacha;acture;acture
chautauqua;chatacuia;85;113;661;1952;26177;caratacus;autarchical;achaia;chat;caratacus
chautauqua;chataqua;7;1;5;111;26152;aquacade;chautauqua;aquatinta;aqua;aqua
chautauqua;chataque;65;39;22;2133;26182;chateaux;chateau;chatta;chat;chat
chautauqua;chatauchuia;4;5;35;133;26209;cachucha;autarchical;cachucha;cachucha;panchatantra
chautauqua;chatauqua;1;1;1;1;1;chautauqua;chautauqua;chautauqua;chautauqua;chautauqua
chautauqua;chautaucua;1;1;1;1;1;chautauqua;chautauqua;chautauqua;chautauqua;chautauqua
chautauqua;chautauqua;1;1;1;1;1;chautauqua;chautauqua;chautauqua;chautauqua;chautauqua
chautauqua;chetickway;26528;48761;34986;33056;26787;catechetic;haecceity;fetiches;catechetic;catechetic
chautauqua;chictique;26347;7834;5070;30933;26461;critique;ischuretic;antique;antique;antique
chautauqua;chitacwa;26270;4830;3481;29490;26153;schechita;awatch;hitachi;hitachi;chita
chautauqua;chitiquea;26542;2378;4324;30922;26330;critique;halieutic;critique;critique;critique
chautauqua;chituaquea;26339;11;365;29522;26300;illaqueate;acquite;queach;aqueable;aqueable
chautauqua;chtoawa;26391;2291;14259;26394;26098;awatch;awatch;awatch;schtook;schtook
chautauqua;sechectaquka;26448;1326;459;30868;26412;hectares;earthquakes;ectases;chechen;chechen
chautauqua;shatakwa;26178;2321;2714;27681;26127;thataway;kajawahs;shakta;shat;shat
chautauqua;shtalkwa;26182;23284;19921;27604;26153;walkways;walkathons;walkway;walkway;walkway
chautauqua;sutalkway;26194;32146;2173;1297;26160;walkways;talukas;walkway;walkway;walkway
christ;crist;12;4;21;21;24;crista;crits;crista;crista;crista
christian;christain;1;1;22;14;13;christian;christian;christ;christ;christ
christmas;chrismas;4;4;5;8;32;chrismal;archaisms;chrismal;chrismal;chrismal
christmas;Christ_mas;1;1;1;2;12;christmas;christmas;christmas;christ;christ
christmas;Christmis;1;5;2;2;2;christmas;chemistries;christ;christ;christ
christmas;Cristmus;1;47;27;9;8;christmas;rusticism;crista;crista;crista
christmas;cristmas;1;2;1;1;1;christmas;ceramists;christmas;christmas;christmas
cinderella;cinderrella;1;1;1;1;1;cinderella;cinderella;cinderella;cinderella;cinderella
dec;des.;0;0;0;0;0;des;des;des;des;des
december;decmber;40609;3;1;1;61;ember;cambered;december;december;amber
december;Desember;2;13;3;5;5;resemble;besmeared;ember;ember;ember
dr;doc;48874;11206;53546;48922;48847;doc;cod;doc;doc;doc
dracula's;draculla's;0;0;0;0;0;caraculs;claustral;dracula;dracula;dracula
dunstan's;dunstan;0;0;0;0;0;dunstan;dunstan;dunstan;dunstan;dunstan
easter;ester;42;16;98;108;152;ester;ester;ester;ester;ester
easter;ester;42;16;98;108;152;ester;ester;ester;ester;ester
eastwood;estwood;51489;1;1;1;1;woodies;eastwood;eastwood;eastwood;eastwood
english;ingish;38;235;177;1790;53789;hingis;hingis;hingis;hingis;hingis
english;inglish;1;42;3;3;3;english;hidlings;tinglish;tinglish;tinglish
feb;fab;0;0;0;0;0;fab;fab;fab;fab;fab
february;febuary;59920;1;1;1;5;feuar;february;february;february;actuary
february;Feburary;1;1;10;28;59713;february;february;rebury;buran;buran
february;feburay;60011;1;815;628;59691;raeburn;february;raeburn;buran;buran
french;franch;30;23;95;751;64605;franc;franc;franc;franc;franc
french;feirne;65140;2239;79705;64732;64339;feiner;enfire;sweirness;sweirness;sweirness
french;fench;8;2;17;15;15;enchafe;flench;enchafe;bench;bench
french;freach;17;55;48;425;64534;reach;chafer;reach;reach;reach
friday;firday;6;1;88;74;64472;sirdar;friday;sirdar;sirdar;sirdar
hallowe'en;hallowen;0;0;0;0;0;hallowed;halloween;halloween;hallowed;hallowed
hitler;hitlar;4;41;6;3;3;hilar;alright;titlark;titlark;titlark
i;a;79101;138760;79101;79101;79101;aa;a;a;a;a
i;i;79124;1;1;1;1;a;i;i;i;i
i'd;i'de;19;56;15;3;3;ide;dei;de;de;de
i'd;I'ed;79104;56;7;3;3;ed;dei;ed;ed;ed
i'd;I'ld;79102;29;3;2;2;a;lid;i;i;i
i'll;ile;79560;673;93714;79656;79104;ile;eli;ile;ile;ile
i'll;Ill;79106;1;259;80456;79104;ill;i'll;ill;ill;ill
i'm;i'me;6;30;6;5;5;dime;amie;i;i;i
i'm;I'n;79104;2014;5;5;5;a;in;i;i;i
i've;i'v;2;4;6;6;6;iv;iv;i;i;i
i've;Iev;79108;1;85096;79232;79105;dev;i've;kiev;kiev;a
indians;indian's;1;1;3;3;3;indians;indians;indian;indian;indian
ireland;irland;1;4;3;83;89;ireland;aldrin;land;garland;garland
irish;iresh;98;253;247;88241;85925;shires;heirs;shires;ires;ires
january;januery;1;1;1;6;6;january;january;january;janus;janus
july;jaly;42;21;674;88227;88147;ally;jay;ally;paly;a
june;jun;1;2;1;1;88203;june;juan;june;june;a
los_angeles;las_angles;0;0;0;0;0;fangless;galleass;angles;angles;angles
mayfield;mayfeild;0;0;0;0;0;mayflies;dreamily;eild;eild;eild
mediterranean;meditterranean;99669;1;1;1;1;superterranean;mediterranean;mediterranean;mediterranean;mediterranean
miss;mis;5;19;5;5;103201;mis;ism;mis;mis;mis
monday;munday;8;10;12;13;19;munda;maundy;munda;munda;munda
mr;mis;105883;22745;115582;106152;105759;mis;ism;mis;mis;mis
mr;Mrs;105761;14;2;105760;105760;mrs;mrs;mrs;mrs;mrs
mrs;miss;105927;3222;118988;106308;105833;miss;isms;miss;miss;miss
mrs;Mixss;105778;5508;112037;105782;105768;miss;sexism;mix;mix;a
mrs;Mr's;105768;1;5;105772;105772;a;mrs;mr;mr;mr
mrs;Mrss;105804;3;1;1;105768;riss;smirs;mrs;mrs;a
october;octber;1;6;1;1;111745;october;botcher;october;october;a
pekinese;pikaness;810;702;6087;4974;121604;titaness;pawkiness;spikiness;alkanes;alkanes
philip's;perllips;0;0;0;0;0;calliper;ripples;calliper;ellipse;ellipse
pyrenean;pyrannean;3;7;1;14;174;johannean;antennary;pyrenean;johannean;johannean
rolls;rowles;881;792;8591;143772;142668;bowles;lowers;browless;browless;browless
samaritan;samariton;1;60;1;1;1;samaritan;animators;samaritan;samaritan;samaritan
saturday;saterday;3;21;2;5;165;yesterday;satyridae;dater;yesterday;yesterday
saturday;Satuarday;1;1;1;1;3;saturday;saturday;saturday;saturday;guardage
scots;scotts;2;4;2;18;19;cotts;scotist;cotts;cotts;cotts
sept;sep;3;32;3;2;149374;seep;apes;seep;seps;a
september;septenber;1;14;1;2;21;september;besprent;september;gutenberg;gutenberg
september;Septmber;1;2;1;1;1;september;obtempers;september;september;september
sheba;shebre;5;550;5;5;7;ghebre;herbes;ghebre;ghebre;ghebre
spanish;spanich;5;64;12;11;14;panic;spinach;panic;panic;hispanic
sunday;sanday;12;26;32;28;28;sandal;daysman;sandal;sandal;sandal
swedish;sweedish;165400;2;1;1;2;sweetish;shrewdies;swedish;swedish;piedish
thames;thems;288;7;4662;170488;169806;hems;meths;hems;hems;anthems
tuesday;teusday;1;1;8;5;5;tuesday;tuesday;mateus;mateus;mateus
tuesday;Tusday;1;1;1;1;1;tuesday;tuesday;tuesday;tuesday;tuesday
tuesday;Tuseday;12;1;81;735;175964;used;tuesday;used;used;contused
victorian;vitiorian;2;10;6;23;21;ivorians;invigilator;vitoria;dorian;dorian
wednesday;wdendsdy;189890;2;19335;189953;189882;dividends;synded;addends;addends;addends
wednesday;Wedensday;1;1;1;4;88;wednesday;wednesday;wednesday;sweden;sweden
wednesday;Wensday;189901;7;4;18;16;davens;endways;wens;wens;wens
welsh;wesh;13;12;27;190146;190082;awes;hews;awes;awes;a
x-rays;exrays;0;0;0;0;0;xrays;hyraxes;xrays;xrays;xrays
a;i;1;113797;6;6;6;a;i;i;i;i
a-quiver;aquiver;0;0;0;0;0;quiver;quaver;quiver;quiver;quiver
a_bit;abit;0;0;0;0;0;habit;bait;habit;habit;habit
a_few;afew;0;0;0;0;0;few;fetwa;few;few;a
a_little;alittle;0;0;0;0;0;little;talliate;little;little;little
a_long;along;0;0;0;0;0;along;along;along;along;along
a_look;alook;0;0;0;0;0;look;koolah;look;look;look
a_lot;alot;0;0;0;0;0;allot;alto;allot;lot;zealot
a_lot;alote;0;0;0;0;0;lote;alecto;lote;lote;lote
a_museum;amusum;0;0;0;0;0;usum;summa;usum;usum;usum
abattoir;abbatoir;1;2;1;4;53;abattoir;brabantio;abattoir;sabbat;sabbat
abhorrence;abhorence;1;1;1;1;1;abhorrence;abhorrence;abhorrence;abhorrence;abhorrence
ability;abbility;982;1;1;1;1;lability;ability;ability;ability;ability
ability;abilaty;1;4;6;45;53;ability;banality;lability;habilatory;habilatory
ability;abillity;1425;3;1;1;4;lability;lability;ability;ability;billie
ability;abilty;1;1;1;7;7;ability;ability;ability;kilty;kilty
ability;ablity;1;1;2;11;10;ability;ability;curablity;curablity;curablity
able;aball;268;335;2876;4093;511;ball;abolla;ball;ball;ball
able;abel;122;2;738;970;362;abel;abel;abel;abel;abel
able;abule;17;15;26;1314;416;babul;blaue;babul;babul;babul
able;alb;453;4;17446;411;294;alb;alb;alb;alb;alb
able-bodied;able_bodied;0;0;0;0;0;embodied;beddable;bodied;bodied;bodied
about;a_belt;906;6069;14723;1092;433;belt;ablet;belt;belt;belt
about;a_bot;29;4;476;585;409;bot;boat;bot;bot;a
about;a_bout;2;1;2;2;2;bout;about;bout;bout;bout
about;a_but;26;5;388;690;409;but;abut;but;but;a
about;a_pelt;958;65404;18748;983;434;pelt;leapt;pelt;pelt;pelt
about;aboat;44;22;78;113;505;boat;abator;boat;boat;boat
about;aboit;13;40;25;22;412;aboil;biota;aboil;aboil;aboiteau
about;abont;28;41;44;37;430;gabon;baton;gabon;gabon;gabon
about;aboo;28;116;34;36;431;baboo;baboo;baboo;baboo;baboo
about;abot;19;4;28;28;428;abbot;boat;abbot;cabot;cabot
about;abote;42;64;62;45;434;bote;beaton;bote;bote;bote
about;abou;1;1;1;1;1;about;about;about;about;about
about;abought;15;13;38;36;63;abought;abought;abought;abought;abought
about;abould;3;139;3;4;4;aboulia;aloud;aboulia;aboulia;aboulia
about;abound;13;173;18;28;42;abound;abound;abound;abound;abound
about;abowt;11;14;15;13;409;abo;towbar;abo;abo;a
about;abunt;185;33;2505;1794;440;bunt;bantu;bunt;bunt;bunt
about;abuot;55;1;587;674;410;abu;about;shabuoth;shabuoth;shabuoth
about;adeaut;1369;9687;3530;2243;447;cadeau;adulate;cadeau;cadeau;cadeau
about;adot;676;280;13272;864;415;ado;doat;ado;ado;extradotal
about;adout;35;16;43;35;422;outdo;auto;outdo;amadou;amadou
about;arand;1644;127748;49068;5762;770;farand;adrian;farand;farand;farand
about;bout;2;2;2;2;2;bout;bout;bout;bout;bout
about;urbote;377;573;3244;1868;446;burbot;boulter;burbot;burbot;burbot
above;a_barth;843;50750;27802;2876;603;bart;bharat;bart;bart;bart
above;a_beyied;438;20812;31856;1105;414;yieldable;yieldable;belied;obeying;obeying
above;a_bof;429;110;164;426;411;boff;abo;boff;boff;a
above;a_bother;823;4071;7032;4622;1520;bothered;bathorse;bother;bother;bother
above;a_bueve;40;52;1113;1191;411;bevue;bevue;eve;eve;a
above;a_buth;611;24052;13777;1038;412;but;bahut;but;but;arbuthnot
above;a_buve;18;7;302;518;411;uvea;aube;juve;juve;a
above;abaeth;1344;6394;2289;1267;437;cabaret;hatable;aether;aether;aether
above;abahe;742;1382;1183;808;418;sabah;habeas;sabah;sabah;sabah
above;aboat;775;1616;79;114;507;boat;abator;boat;boat;boat
above;aboer;17;94;27;17;415;boer;abore;boer;boer;boer
above;abofe;7;7;12;10;411;abo;beefalo;abo;abo;a
above;abost;1129;4045;50;33;422;abos;basto;abos;abos;abos
above;abou;24;156;37;54;484;about;about;about;about;about
above;about;852;2044;84;99;495;about;about;about;about;about
above;abouth;1165;4466;226;258;670;about;abought;about;about;about
above;abouve;1;1;2;110;510;above;above;about;about;about
above;abowe;33;12;46;53;457;bowed;bowhead;bowed;bowed;bowed
above;abuf;479;3914;374;644;411;abu;buffa;abu;abu;a
above;abuov;6;4;7;623;412;abu;bivouac;abu;abu;shabuoth
above;abuve;8;7;8;714;411;abu;aube;abu;abu;a
above;abve;1;1;1;446;411;above;above;above;abvolt;a
above;adove;28;25;52;42;435;dove;avowed;dove;dove;dove
above;aduv;469;4996;6954;572;411;duad;vaud;duad;nadu;a
above;alowe;1101;2664;27532;1911;569;alowe;alowe;alowe;alowe;alowe
above;aovere;184;406;999;1304;2025;overed;overage;overed;overed;overed
above;apuve;591;953;561;594;411;uvea;pave;apus;apus;a
above;bealove;59;25;278;170;537;belove;evocable;belove;love;love
above;beneath;1809;21375;60221;5070;797;beneath;beneath;beneath;beneath;beneath
above;buft;467;46842;4038;479;411;buff;btu;buff;buff;a
above;dong;797;89061;41648;1540;421;dong;dong;dong;dong;dong
above;obove;1;4;1;1;1;above;oboe;above;above;above
above;ubove;1;5;1;1;1;above;boue;above;above;above
above;unbove;1;80;1;1;1;above;overburn;above;above;above
above;uove;11;113;11;11;412;cove;ovule;cove;cove;suovetaurilia
above;upbudh;482;65714;7017;536;417;upbuild;huddup;buddha;upbuild;upbuild
above;upbuve;471;475;460;573;417;upbuild;bevue;upbuild;upbuild;upbuild
above;urborth;950;57744;4622;3100;828;borth;thorburn;borth;borth;borth
abroad;a_broad;2;2;2;2;2;broad;aboard;broad;broad;broad
abroad;abraod;22;2;136;111;490;abram;aboard;abram;abram;abram
abroad;abrod;2;8;2;1;1;brood;abord;brood;abroad;abroad
absence;absense;2;16;5;5;5;absent;absences;sense;sense;sense
absence;absents;6;1156;11;10;10;absents;absents;absents;absents;absents
absent;apsent;7;122;7;6;6;upsent;patens;upsent;upsent;upsent
absolutely;absolutley;2;1;3;3;3;absolute;absolutely;absolute;absolute;absolute
absolutely;absolutly;2;1;1;3;3;absolute;absolutely;absolutely;absolute;absolute
absolutely;apselutely;1;55;7;2;2;absolutely;teleplays;elute;elute;elute
absorbent;absorbant;2;1;2;7;8;absorbable;absorbent;absorb;absorb;absorb
absorption;absorbtion;1;3;1;2;14;absorption;abortions;absorption;absorb;absorb
absurd;asurb;40;4;146;125;759;surbase;abrus;surbase;rasure;rasure
absurd;abeserbed;1062;1226;20762;4169;879;reverbed;baedekers;berberises;gerbes;kerbed
absurd;abscered;1663;1529;1850;1077;1525;abscessed;berdaches;cered;cered;cered
absurd;abserb;116;1166;252;168;713;serb;barbes;serb;serb;serb
absurd;abserbd;49;225;287;169;713;serdabs;dabbers;serb;serb;serb
absurd;abserbed;997;727;1096;306;812;absorbed;slabbered;absorbed;kerbed;kerbed
absurd;abserd;4;106;10;173;714;serdabs;ardebs;serdabs;serdabs;absey
absurd;abserded;1117;928;59;342;849;unherded;bedspread;serdabs;herded;herded
absurd;absered;191;538;1837;1017;1472;sered;debaser;sered;sered;sered
absurd;abserid;113;718;855;428;929;serdabs;braised;serdabs;absey;subseries
absurd;abserred;1644;1384;2206;484;951;deferred;redbreast;serred;serred;serred
absurd;abserve;412;6709;771;420;987;observe;beavers;observe;observe;observe
absurd;abserved;1010;954;1355;469;1002;observed;adverbs;observed;observed;observed
absurd;abseved;222;3638;468;236;766;severed;beslaved;severed;absey;absey
absurd;absevered;1882;1740;3518;1456;1800;unsevered;beavered;severed;severed;severed
absurd;absorb;78;634;195;171;715;absorb;absorb;absorb;absorb;absorb
absurd;absorbd;37;105;206;171;715;absorb;absorbed;absorb;absorb;absorb
absurd;absorbed;842;749;461;249;768;absorbed;absorbed;absorbed;absorbed;absorbed
absurd;absord;10;57;17;157;687;absorb;abords;absorb;absorb;absorb
absurd;absored;115;540;734;389;817;sored;absorbed;reabsorbed;sored;sored
absurd;absred;18;106;162;97;651;sabred;ardebs;sabred;red;a
absurd;absurb;1;21;1;1;1;absurd;busbar;absurd;absurd;absurd
absurd;absurbe;1;200;1;1;1;absurd;barbules;absurd;absurd;absurd
absurd;absurbed;949;27;3;2;2;absorbed;bedaubs;surbed;surbed;surbed
absurd;absurded;988;16;2;2;2;absurder;daubers;absurder;absurder;absurder
absurd;absured;1;8;1;1;1;absurd;daubers;absurd;absurd;absurd
absurd;absurred;1231;28;1;1;1;absurder;absurder;absurd;absurd;absurd
absurd;aburd;3;1;4;110;694;burd;absurd;burd;burd;burd
absurd;aburve;64;564;144;1812;724;curve;avebury;curve;curve;curve
absurd;adsurbed;988;16;449;175;721;adsorbed;daubers;surbed;surbed;surbed
absurd;apserved;1098;15843;65770;3157;1024;deserved;depraves;served;served;served
absurd;apubed;1767;429;30609;1397;678;pubbed;dupable;pubbed;cubed;cubed
absurd;obsurd;1;27;1;1;1;absurd;obdures;absurd;absurd;absurd
absurd;obsured;14;344;44;39;46;obdured;obdures;obscured;assured;assured
abundance;abundence;1;1;1;2;31;abundance;abundance;abundance;tendence;tendence
abundant;abundent;3;5;1;9;9;obtundent;unbated;abundant;obtundent;obtundent
abuse;abouse;5;2;7;429;1108;bouse;aerobus;bouse;bouse;bouse
academic;accademic;1;1;1;1;1;academic;academic;academic;academic;academic
academic;acedemic;2;1;2;5;4;myxedemic;academic;racemic;myxedemic;myxedemic
academically;academicly;6;2;3;10;10;academic;acclaimed;academic;academic;academic
academically;accademically;1;1;1;1;1;academically;academically;academically;academically;academically
accede;acceed;1;1;1;6;9;accede;accede;accede;recceed;recceed
accelerate;acellerate;3;1;1;3;8;illerate;accelerate;accelerate;illerate;illerate
accents;achsends;1381;2256;887;4570;993;dachshunds;ascends;sends;sends;sends
accept;acept;1;3;1;1;1;accept;capet;accept;accept;accept
accept;axcept;3;5;12;12;17;except;capet;except;except;except
accept;except;11;262;22;22;26;except;except;except;except;except
acceptable;acceptable;1;1;1;1;1;acceptable;acceptable;acceptable;acceptable;acceptable
acceptable;accepball;1;9;27;12;11;acceptable;placable;accept;accept;accept
acceptable;acceptably;3;3;3;3;3;acceptably;acceptably;acceptably;acceptably;acceptably
acceptable;acceptiable;1;1;1;1;4;acceptable;acceptable;acceptable;acceptable;accepting
acceptable;acceptible;6;1;1;11;27;deceptible;acceptable;acceptable;deceptible;deceptible
acceptable;aceptable;1;1;1;1;1;acceptable;acceptable;acceptable;acceptable;acceptable
acceptable;aceptible;25;23;5;56;390;deceptible;celibate;deceptible;deceptible;deceptible
acceptable;acetable;49;8;5;170;149;retables;cabalette;tablet;retable;retable
acceptable;ackceptable;1;1;1;1;1;acceptable;acceptable;acceptable;acceptable;acceptable
acceptable;ackeptable;1;2;1;1;1;acceptable;backplate;acceptable;acceptable;acceptable
acceptable;acksecetable;15;10;4;154;146;retables;accelerates;settable;retable;retable
acceptable;ackseptable;1;10;1;1;1;acceptable;aspectable;acceptable;acceptable;acceptable
acceptable;acseptable;1;5;1;1;1;acceptable;aspectable;acceptable;acceptable;acceptable
acceptable;actable;1869;81;23;185;179;actable;actable;actable;actable;actable
acceptable;actceptable;1;1;1;1;1;acceptable;acceptable;acceptable;acceptable;acceptable
acceptable;actseptable;1;9;2;1;1;acceptable;aspectable;actable;acceptable;acceptable
acceptable;actsepterable;63;136;13;193;1185;scatterable;breastplate;alterable;alterable;alterable
acceptable;asseptable;2;93;2;1;1;assertable;baseplates;assertable;acceptable;acceptable
acceptable;axceptable;1;2;1;1;1;acceptable;exactable;acceptable;acceptable;acceptable
acceptable;axceptiable;6;4;4;12;77;exceptionable;exactable;exceptionable;exceptionable;dutiable
acceptable;axeptable;1;5;2;1;1;acceptable;baseplate;taxable;acceptable;acceptable
acceptable;ecceptable;1;2;1;1;1;acceptable;bespectacled;acceptable;acceptable;acceptable
acceptable;exactible;333;345;636;2833;1830;extractible;excitable;extractible;olfactible;olfactible
acceptable;exceptable;1;19;1;1;1;acceptable;expectable;acceptable;acceptable;acceptable
acceptable;excepteable;6;23;7;19;83;excepted;expectable;exceptionable;excepted;excepted
acceptable;exceptial;85;526;489;278;269;exceptis;explicate;exceptis;exceptis;exceptis
acceptable;exceptible;54;319;39;74;409;deceptible;excerptible;excerptible;deceptible;deceptible
acceptable;exsaptible;464;1608;495;2164;1406;emptible;expansible;excerptible;emptible;emptible
acceptable;exseptable;1;694;1;1;1;acceptable;expectable;acceptable;acceptable;acceptable
acceptable;exsestible;2239;23364;13468;6294;1839;comestible;bissextile;comestible;comestible;comestible
acceptable;exzeptable;1;152;1;1;1;acceptable;expectable;acceptable;acceptable;acceptable
acceptance;acceptence;3;1;1;5;14;accepted;acceptance;acceptance;accepted;accepted
accepted;acepted;2392;1;1;1;1;accept;accepted;accepted;accepted;accepted
accepted;excepted;4;84;6;5;5;excepted;excepted;excepted;excepted;excepted
