palavra correta;palavra digitada;px;p1;p2;p3;p4;p1_lx;p1_l1;p1_l2;p1_l3;p1_l4
saturday;saterday;1;21;2;5;165;saturday;satyridae;dater;yesterday;yesterday
saturday;Satuarday;1;1;1;1;3;saturday;saturday;saturday;saturday;guardage
scots;scotts;147732;4;2;18;19;scoots;scotist;cotts;cotts;cotts
sept;sep;32;32;3;2;149374;apes;apes;seep;seps;a
september;septenber;1;14;1;2;21;september;besprent;september;gutenberg;gutenberg
september;Septmber;1;2;1;1;1;september;obtempers;september;september;september
sheba;shebre;151366;550;5;5;7;ghebre;herbes;ghebre;ghebre;ghebre
spanish;spanich;5;64;12;11;14;hispanic;spinach;panic;panic;hispanic
sunday;sanday;8;26;32;28;28;sandal;daysman;sandal;sandal;sandal
swedish;sweedish;1;2;1;1;2;swedish;shrewdies;swedish;swedish;piedish
thames;thems;169833;7;4662;170488;169806;meths;meths;hems;hems;anthems
tuesday;teusday;1;1;8;5;5;tuesday;tuesday;mateus;mateus;mateus
tuesday;Tusday;1;1;1;1;1;tuesday;tuesday;tuesday;tuesday;tuesday
tuesday;Tuseday;7;1;81;735;175964;abused;tuesday;used;used;contused
victorian;vitiorian;3;10;6;23;21;vitoria;invigilator;vitoria;dorian;dorian
wednesday;wdendsdy;207;2;19335;189953;189882;addends;synded;addends;addends;addends
wednesday;Wedensday;1;1;1;4;88;wednesday;wednesday;wednesday;sweden;sweden
wednesday;Wensday;1;7;4;18;16;wednesday;endways;wens;wens;wens
welsh;wesh;12;12;27;190146;190082;hews;hews;awes;awes;a
x-rays;exrays;0;0;0;0;0;betrays;hyraxes;xrays;xrays;xrays
a;i;1;113797;6;6;6;a;i;i;i;i
a-quiver;aquiver;0;0;0;0;0;quiver;quaver;quiver;quiver;quiver
a_bit;abit;0;0;0;0;0;bait;bait;habit;habit;habit
a_few;afew;0;0;0;0;0;fetwa;fetwa;few;few;a
a_little;alittle;0;0;0;0;0;little;talliate;little;little;little
a_long;along;0;0;0;0;0;along;along;along;along;along
a_look;alook;0;0;0;0;0;cloak;koolah;look;look;look
a_lot;alot;0;0;0;0;0;alto;alto;allot;lot;zealot
a_lot;alote;0;0;0;0;0;aloe;alecto;lote;lote;lote
a_museum;amusum;0;0;0;0;0;hummus;summa;usum;usum;usum
abattoir;abbatoir;1;2;1;4;53;abattoir;brabantio;abattoir;sabbat;sabbat
abhorrence;abhorence;1;1;1;1;1;abhorrence;abhorrence;abhorrence;abhorrence;abhorrence
ability;abbility;1;1;1;1;1;ability;ability;ability;ability;ability
ability;abilaty;2;4;6;45;53;lability;banality;lability;habilatory;habilatory
ability;abillity;1;3;1;1;4;ability;lability;ability;ability;billie
ability;abilty;1;1;1;7;7;ability;ability;ability;kilty;kilty
ability;ablity;1;1;2;11;10;ability;ability;curablity;curablity;curablity
able;aball;25;335;2876;4093;511;alban;abolla;ball;ball;ball
able;abel;2;2;738;970;362;abel;abel;abel;abel;abel
able;abule;3;15;26;1314;416;blaue;blaue;babul;babul;babul
able;alb;4;4;17446;411;294;alb;alb;alb;alb;alb
able-bodied;able_bodied;0;0;0;0;0;disembodied;beddable;bodied;bodied;bodied
about;a_belt;1002;6069;14723;1092;433;beltane;ablet;belt;belt;belt
about;a_bot;4;4;476;585;409;boat;boat;bot;bot;a
about;a_bout;873;1;2;2;2;abouts;about;bout;bout;bout
about;a_but;5;5;388;690;409;abut;abut;but;but;a
about;a_pelt;1207;65404;18748;983;434;peltas;leapt;pelt;pelt;pelt
about;aboat;3;22;78;113;505;abbot;abator;boat;boat;boat
about;aboit;11;40;25;22;412;biota;biota;aboil;aboil;aboiteau
about;abont;10;41;44;37;430;baton;baton;gabon;gabon;gabon
about;aboo;36;116;34;36;431;abos;baboo;baboo;baboo;baboo
about;abot;4;4;28;28;428;boat;boat;abbot;cabot;cabot
about;abote;15;64;62;45;434;abet;beaton;bote;bote;bote
about;abou;1;1;1;1;1;about;about;about;about;about
about;abought;1233;13;38;36;63;abought;abought;abought;abought;abought
about;abould;1690;139;3;4;4;aboulia;aloud;aboulia;aboulia;aboulia
about;abound;2084;173;18;28;42;abound;abound;abound;abound;abound
about;abowt;5;14;15;13;409;boat;towbar;abo;abo;a
about;abunt;14;33;2505;1794;440;bantu;bantu;bunt;bunt;bunt
about;abuot;1;1;587;674;410;about;about;shabuoth;shabuoth;shabuoth
about;adeaut;2220;9687;3530;2243;447;cadeau;adulate;cadeau;cadeau;cadeau
about;adot;107;280;13272;864;415;doat;doat;ado;ado;extradotal
about;adout;5;16;43;35;422;auto;auto;outdo;amadou;amadou
about;arand;664;127748;49068;5762;770;adorn;adrian;farand;farand;farand
about;bout;2;2;2;2;2;bout;bout;bout;bout;bout
about;urbote;3386;573;3244;1868;446;burbot;boulter;burbot;burbot;burbot
above;a_barth;1135;50750;27802;2876;603;hobart;bharat;bart;bart;bart
above;a_beyied;1035;20812;31856;1105;414;belied;yieldable;belied;obeying;obeying
above;a_bof;456;110;164;426;411;abo;abo;boff;boff;a
above;a_bother;2412;4071;7032;4622;1520;bother;bathorse;bother;bother;bother
above;a_bueve;732;52;1113;1191;411;buplever;bevue;eve;eve;a
above;a_buth;652;24052;13777;1038;412;hagbut;bahut;but;but;arbuthnot
above;a_buve;545;7;302;518;411;abusive;aube;juve;juve;a
above;abaeth;2101;6394;2289;1267;437;nabathaean;hatable;aether;aether;aether
above;abahe;529;1382;1183;808;418;bathe;habeas;sabah;sabah;sabah
above;aboat;557;1616;79;114;507;abbot;abator;boat;boat;boat
above;aboer;19;94;27;17;415;abore;abore;boer;boer;boer
above;abofe;3;7;12;10;411;abode;beefalo;abo;abo;a
above;abost;869;4045;50;33;422;basto;basto;abos;abos;abos
above;abou;69;156;37;54;484;about;about;about;about;about
above;about;625;2044;84;99;495;about;about;about;about;about
above;abouth;1603;4466;226;258;670;abouts;abought;about;about;about
above;abouve;1318;1;2;110;510;overabound;above;about;about;about
above;abowe;4;12;46;53;457;ablow;bowhead;bowed;bowed;bowed
above;abuf;577;3914;374;644;411;buffa;buffa;abu;abu;a
above;abuov;2;4;7;623;412;about;bivouac;abu;abu;shabuoth
above;abuve;4;7;8;714;411;aube;aube;abu;abu;a
above;abve;1;1;1;446;411;above;above;above;abvolt;a
above;adove;8;25;52;42;435;dave;avowed;dove;dove;dove
above;aduv;589;4996;6954;572;411;vaud;vaud;duad;nadu;a
above;alowe;746;2664;27532;1911;569;alowe;alowe;alowe;alowe;alowe
above;aovere;4393;406;999;1304;2025;overed;overage;overed;overed;overed
above;apuve;551;953;561;594;411;pave;pave;apus;apus;a
above;bealove;2298;25;278;170;537;belove;evocable;belove;love;love
above;beneath;4052;21375;60221;5070;797;beneath;beneath;beneath;beneath;beneath
above;buft;539;46842;4038;479;411;btu;btu;buff;buff;a
above;dong;756;89061;41648;1540;421;dong;dong;dong;dong;dong
above;obove;1;4;1;1;1;above;oboe;above;above;above
above;ubove;2;5;1;1;1;boue;boue;above;above;above
above;unbove;1365;80;1;1;1;unbone;overburn;above;above;above
above;uove;33;113;11;11;412;ovule;ovule;cove;cove;suovetaurilia
above;upbudh;498;65714;7017;536;417;upbuild;huddup;buddha;upbuild;upbuild
above;upbuve;487;475;460;573;417;buplever;bevue;upbuild;upbuild;upbuild
above;urborth;1540;57744;4622;3100;828;thorburn;thorburn;borth;borth;borth
abroad;a_broad;1;2;2;2;2;abroad;aboard;broad;broad;broad
abroad;abraod;13;2;136;111;490;abrade;aboard;abram;abram;abram
abroad;abrod;793;8;2;1;1;abord;abord;brood;abroad;abroad
absence;absense;2;16;5;5;5;absent;absences;sense;sense;sense
absence;absents;13;1156;11;10;10;absents;absents;absents;absents;absents
absent;apsent;3;122;7;6;6;upsent;patens;upsent;upsent;upsent
absolutely;absolutley;2;1;3;3;3;absolute;absolutely;absolute;absolute;absolute
absolutely;absolutly;1;1;1;3;3;absolutely;absolutely;absolutely;absolute;absolute
absolutely;apselutely;3;55;7;2;2;elapse;teleplays;elute;elute;elute
absorbent;absorbant;1;1;2;7;8;absorbent;absorbent;absorb;absorb;absorb
absorption;absorbtion;1;3;1;2;14;absorption;abortions;absorption;absorb;absorb
absurd;asurb;1066;4;146;125;759;abrus;abrus;surbase;rasure;rasure
absurd;abeserbed;2340;1226;20762;4169;879;seabed;baedekers;berberises;gerbes;kerbed
absurd;abscered;749;1529;1850;1077;1525;abscessed;berdaches;cered;cered;cered
absurd;abserb;152;1166;252;168;713;serdabs;barbes;serb;serb;serb
absurd;abserbd;70;225;287;169;713;serdabs;dabbers;serb;serb;serb
absurd;abserbed;459;727;1096;306;812;absorbed;slabbered;absorbed;kerbed;kerbed
absurd;abserd;5;106;10;173;714;serdabs;ardebs;serdabs;serdabs;absey
absurd;abserded;69;928;59;342;849;serdabs;bedspread;serdabs;herded;herded
absurd;absered;536;538;1837;1017;1472;serred;debaser;sered;sered;sered
absurd;abserid;214;718;855;428;929;serdabs;braised;serdabs;absey;subseries
absurd;abserred;882;1384;2206;484;951;serred;redbreast;serred;serred;serred
absurd;abserve;584;6709;771;420;987;observe;beavers;observe;observe;observe
absurd;abserved;577;954;1355;469;1002;observed;adverbs;observed;observed;observed
absurd;abseved;288;3638;468;236;766;severed;beslaved;severed;absey;absey
absurd;absevered;1178;1740;3518;1456;1800;severed;beavered;severed;severed;severed
absurd;absorb;77;634;195;171;715;absorb;absorb;absorb;absorb;absorb
absurd;absorbd;50;105;206;171;715;absorb;absorbed;absorb;absorb;absorb
absurd;absorbed;211;749;461;249;768;absorbed;absorbed;absorbed;absorbed;absorbed
absurd;absord;6;57;17;157;687;absorb;abords;absorb;absorb;absorb
absurd;absored;193;540;734;389;817;absorbed;absorbed;reabsorbed;sored;sored
absurd;absred;23;106;162;97;651;sabred;ardebs;sabred;red;a
absurd;absurb;1;21;1;1;1;absurd;busbar;absurd;absurd;absurd
absurd;absurbe;1;200;1;1;1;absurd;barbules;absurd;absurd;absurd
absurd;absurbed;3;27;3;2;2;surbed;bedaubs;surbed;surbed;surbed
absurd;absurded;2;16;2;2;2;absurder;daubers;absurder;absurder;absurder
absurd;absured;1;8;1;1;1;absurd;daubers;absurd;absurd;absurd
absurd;absurred;1;28;1;1;1;absurd;absurder;absurd;absurd;absurd
absurd;aburd;924;1;4;110;694;bard;absurd;burd;burd;burd
absurd;aburve;65;564;144;1812;724;avebury;avebury;curve;curve;curve
absurd;adsurbed;96;16;449;175;721;surbed;daubers;surbed;surbed;surbed
absurd;apserved;6553;15843;65770;3157;1024;served;depraves;served;served;served
absurd;apubed;2240;429;30609;1397;678;pubbed;dupable;pubbed;cubed;cubed
absurd;obsurd;1;27;1;1;1;absurd;obdures;absurd;absurd;absurd
absurd;obsured;29;344;44;39;46;obscured;obdures;obscured;assured;assured
abundance;abundence;1;1;1;2;31;abundance;abundance;abundance;tendence;tendence
abundant;abundent;1;5;1;9;9;abundant;unbated;abundant;obtundent;obtundent
abuse;abouse;3616;2;7;429;1108;boused;aerobus;bouse;bouse;bouse
academic;accademic;1;1;1;1;1;academic;academic;academic;academic;academic
academic;acedemic;2;1;2;5;4;racemic;academic;racemic;myxedemic;myxedemic
